Country,Subtopic,Status,Justification
Afghanistan,Scope of legislation,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Afghanistan,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation
Afghanistan,Access to resources,Access is restricted,Access to the resource within this territory is restricted and subject to preliminary processes.
Afghanistan,Prior informed consent (PIC),Access is restricted and PIC is required,A prior informed consent process is required prior to accessing the requested resource.
Afghanistan,Contractual terms,Access is restricted and contract is required,"The Environmental Law describes the minimum requirements to be contained in the ""access permit"", which constitute a written contractual agreement regarding access and benefit-sharing."
Afghanistan,Benefit-sharing,Access is restricted and benefit-sharing is mandated,"Equitable sharing of benefits derived from the accessed genetic resources is required, however there is no information as to the nature of those benefits.  (Article 61 of the Environmental Law)"
Afghanistan,Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
Afghanistan,Legal sanctions,Fines and criminalization,"Breaching of the conditions of this law may be met with a sentence of imprisonment, a cash fine, or both"
Albania,Scope of legislation,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Albania,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Albania,Access to resources,Access is restricted,"Access is restricted, but exceptions exist for efforts relating to bioconservation"
Albania,Prior informed consent (PIC),Access is restricted and PIC is required,The legislation describes an obligation to seek consent from the owner of the genetic material or the state of Albania.
Albania,Contractual terms,Access is restricted and contract is required,"Several mentions of contractual agreements are made throughout this legislation, including a ""model agreement for the transfer of materials"", and an ""environmental permit"". There are no clear directions on how to draft such a contract, however."
Albania,Benefit-sharing,Access is restricted and benefit-sharing is mandated,"Equitable sharing of benefits derived from the accessed genetic resources is required, however there is no information as to the desired nature of those benefits."
Albania,Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
Albania,Legal sanctions,"""Fines, criminalization, and access restrictions""","Breaching of the conditions of this law may be met with a sentence of imprisonment, a cash fine, or both, as well as confiscation of the sought genetic resource. (Art 54)"
Algeria,Scope of legislation,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Algeria,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Algeria,Access to resources,Access is restricted,Access to the resource within this territory is restricted and subject to preliminary processes.
Algeria,Prior informed consent (PIC),Access is restricted and PIC is required,A prior informed consent process is required prior to accessing the requested resource
Algeria,Contractual terms,Access is restricted but contract requirements not addressed,There are no substantive mentions of this subject in the available legislation.
Algeria,Benefit-sharing,Access is restricted and benefit-sharing is mandated,Benefit-sharing is required for access with commercialization purposes. No benefit-sharing is required for scientific research. 
Algeria,Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
Algeria,Legal sanctions,Fines and criminalization,"Infringement of ABS rules is punishable with fines, imprisonment or other criminal law sanctions."
Andorra,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Andorra,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Andorra,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Andorra,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Andorra,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Andorra,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Andorra,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Andorra,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Angola,Scope of legislation,Legislation does not cover microorganisms,The current ABS legislation does not cover genetic resources as it relates to microorganisms. The only legislation on access to genetic resources relates to fishing and aquaculture.
Angola,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Angola,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Angola,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Angola,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Angola,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Angola,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Angola,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Antigua and Barbuda,Scope of legislation,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Antigua and Barbuda,Digital sequence information (DSI),DSI is explicitly excluded,"The term ""biological resources"" is defined as genetic material as well as digital sequence information. However, the Access & Benefit-Sharing section specifically avoids using the term ""Biological resources"", opting for the narrower term ""genetic material and related knowledge and technologies""."
Antigua and Barbuda,Access to resources,Access is restricted,Access to the resource within this territory is restricted and subject to preliminary processes.
Antigua and Barbuda,Prior informed consent (PIC),Access is restricted and PIC is required,A prior informed consent process is required prior to accessing the requested resource.
Antigua and Barbuda,Contractual terms,Access is restricted and contract is required,"The terms of access must be consolidated in written contract form. This may include the expected benefits to be shared, intellectual property rights, and duration of possession. No examples or models provided."
Antigua and Barbuda,Benefit-sharing,Access is restricted and benefit-sharing is mandated,"Equitable sharing of benefits derived from the accessed genetic resources is required, however there is no information as to the desired nature of those benefits."
Antigua and Barbuda,Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
Antigua and Barbuda,Legal sanctions,Access restrictions,"Access restrictions such as confiscations of resources, termination of permits, or bans on future applications, may be applied as penalties."
Argentina,Scope of legislation,Legislation covers genetic resources (including microorganisms),The scope of the relevant legislation applies to genetic material only. Traditional knowledge is not covered in the legislation.
Argentina,Digital sequence information (DSI),DSI is included,"Argentina views ""genetic data"" as being included in the concept of ""genetic resource"". As a result, DSI is considered to be covered by existing ABS legislation."
Argentina,Access to resources,Access is restricted,"Access to the resource within this territory is restricted, with exceptions made for certain circumstances."
Argentina,Prior informed consent (PIC),Access is restricted and PIC is required,A prior informed consent process is required prior to accessing the requested resource.
Argentina,Contractual terms,Access is restricted and contract is required,"The terms of access must be consolidated in written contract form. This may include the expected benefits to be shared, intellectual property rights, and duration of possession."
Argentina,Benefit-sharing,Access is restricted but benefit-sharing is not addressed,"There are no specified benefit-sharing requirements for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Argentina,Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
Argentina,Legal sanctions,No penalties specified,There are no substantive mentions of this subject in the available legislation
Armenia,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
