WHO_Region,Country,NBI,iso_a3_eh
Eastern Mediterranean Region,Afghanistan,0.459,AFG
European Region,Albania,0.531,ALB
Africa Region,Algeria,0.308,DZA
European Region,Andorra,,AND
Africa Region,Angola,0.641,AGO
Region of the Americas,Antigua and Barbuda,,ATG
Region of the Americas,Argentina,0.615,ARG
European Region,Armenia,0.559,ARM
Western Pacific Region,Australia,0.853,AUS
European Region,Austria,0.469,AUT
European Region,Azerbaijan,0.534,AZE
Region of the Americas,Bahamas,0.443,BHS
Eastern Mediterranean Region,Bahrain,,BHR
South-East Asia Region,Bangladesh,0.538,BGD
Region of the Americas,Barbados,,BRB
European Region,Belarus,0.368,BLR
European Region,Belgium,0.445,BEL
Region of the Americas,Belize,0.643,BLZ
Africa Region,Benin,0.618,BEN
South-East Asia Region,Bhutan,0.607,BTN
Region of the Americas,Bolivia (Plurinational State of),0.724,BOL
European Region,Bosnia and Herzegovina,0.532,BIH
Africa Region,Botswana,0.461,BWA
Region of the Americas,Brazil,0.877,BRA
Western Pacific Region,Brunei Darussalam,0.777,BRN
European Region,Bulgaria,0.493,BGR
Africa Region,Burkina Faso,0.526,BFA
Africa Region,Burundi,0.683,BDI
Africa Region,Cabo Verde (Cape Verde),,CPV
Western Pacific Region,Cambodia,0.568,KHM
Africa Region,Cameroon,0.689,CMR
Region of the Americas,Canada,0.299,CAN
Africa Region,Central African Republic (CAR),0.509,CAF
Africa Region,Chad,0.364,TCD
Region of the Americas,Chile,0.57,CHL
Western Pacific Region,China (People's Republic of China; PRC),0.839,CHN
Western Pacific Region,Chinese Taipei (Taiwan; Republic of China; ROC),,COL
Region of the Americas,Colombia,0.935,COM
Region of the Americas,Costa Rica,0.82,CRI
Africa Region,Côte d'Ivoire (Ivory Coast),0.632,CIV
European Region,Croatia,0.538,HRV
Region of the Americas,Cuba,0.703,CUB
Region of the Americas,Curacao,,CUW
European Region,Cyprus,0.451,CYP
European Region,Czechia (Czech Republic),0.498,CZE
Africa Region,Democratic Republic of Congo (DRC),0.651,COD
European Region,Denmark,0.403,DNK
Eastern Mediterranean Region,Djibouti,0.43,DJI
Region of the Americas,Dominica,,DMA
Region of the Americas,Dominican Republic,0.661,DOM
Region of the Americas,Ecuador,0.873,ECU
Eastern Mediterranean Region,Egypt,0.326,EGY
Region of the Americas,El Salvador,0.616,SLV
Africa Region,Equatorial Guinea,0.714,GNQ
Africa Region,Eritrea,0.587,ERI
European Region,Estonia,0.436,EST
Africa Region,Eswatini (Swaziland),0.609,SWZ
Africa Region,Ethiopia,0.593,ETH
Western Pacific Region,Fiji,0.52,FJI
European Region,Finland,0.29,FIN
European Region,France,0.423,FRA
Africa Region,Gabon,0.641,GAB
Africa Region,Gambia (Republic of The),0.602,GMB
European Region,Georgia,0.553,GEO
European Region,Germany,0.365,DEU
Africa Region,Ghana,0.646,GHA
European Region,Greece,0.55,GRC
Region of the Americas,Grenada,,GRD
Region of the Americas,Guatemala,0.744,GTM
Africa Region,Guinea,0.603,GIN
Africa Region,Guinea Bissau,0.592,GNB
Region of the Americas,Guyana,0.685,GUY
Region of the Americas,Haiti,0.68,HTI
Region of the Americas,Honduras,0.653,HND
European Region,Hungary,0.441,HUN
European Region,Iceland,0.113,ISL
South-East Asia Region,India,0.732,IND
South-East Asia Region,Indonesia,1,IDN
Eastern Mediterranean Region,Iran (Islamic Republic of),0.471,IRN
Eastern Mediterranean Region,Iraq,0.431,IRQ
European Region,Ireland,0.279,IRL
European Region,Israel,0.601,ISR
European Region,Italy,0.512,ITA
Region of the Americas,Jamaica,0.665,JAM
Western Pacific Region,Japan,0.638,JPN
Eastern Mediterranean Region,Jordan,0.468,JOR
European Region,Kazakhstan,0.435,KAZ
Africa Region,Kenya,0.643,KEN
Eastern Mediterranean Region,Kuwait,0.224,KWT
European Region,Kyrgyzstan,0.414,KGZ
Western Pacific Region,Lao People's Democratic Republic (Laos; Lao PDR),0.615,LAO
European Region,Latvia,0.42,LVA
Eastern Mediterranean Region,Lebanon,0.569,LBN
Africa Region,Lesotho,0.569,LSO
Africa Region,Liberia,0.416,LBR
Eastern Mediterranean Region,Libya,0.24,LBY
European Region,Lithuania,0.42,LTU
European Region,Luxembourg,,LUX
Africa Region,Madagascar,0.813,MDG
Africa Region,Malawi,0.627,MWI
Western Pacific Region,Malaysia,0.809,MYS
South-East Asia Region,Maldives,,MDV
Africa Region,Mali,0.381,MLI
European Region,Malta,,MLT
Western Pacific Region,Marshall Islands,,MHL
Africa Region,Mauritania,0.341,MRT
Africa Region,Mauritius,,MUS
Region of the Americas,Mexico,0.928,MEX
Western Pacific Region,Micronesia (Federated States of Micronesia),,FSM
European Region,Monaco,,MCO
Western Pacific Region,Mongolia,0.358,MNG
European Region,Montenegro,,MNE
Eastern Mediterranean Region,Morocco,0.459,MAR
Africa Region,Mozambique,0.522,MOZ
South-East Asia Region,Myanmar (Burma),0.628,MMR
Africa Region,Namibia,0.553,NAM
Western Pacific Region,Nauru,,NRU
South-East Asia Region,Nepal,0.642,NPL
European Region,Netherlands,0.412,NLD
Western Pacific Region,New Zealand,0.52,NZL
Region of the Americas,Nicaragua,0.643,NIC
Africa Region,Niger,0.412,NER
Africa Region,Nigeria,0.548,NGA
Western Pacific Region,Niue,,NIU
European Region,North Macedonia (Macedonia; FYROM),0.55,MKD
European Region,Norway,0.297,NOR
Eastern Mediterranean Region,Oman,0.358,OMN
Eastern Mediterranean Region,Pakistan,0.495,PAK
Western Pacific Region,Palau,,PLW
Region of the Americas,Panama,0.793,PAN
Western Pacific Region,Papua New Guinea,0.775,PNG
Region of the Americas,Paraguay,0.613,PRY
Region of the Americas,Peru,0.843,PER
Western Pacific Region,Philippines,0.786,PHL
European Region,Poland,0.367,POL
