Country Name,Code,Indicator Name,Indicator Code,2019,2020,2021,2022
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,31902.80982,24008.12782,29127.75938,33300.83882
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,1507.982881,1355.805923,1545.613215,1644.062829
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,497.7414293,512.0550982,355.7778264,
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,1812.446822,1688.075575,1766.943618,1785.312219
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,2191.347764,1450.905112,1927.474078,3000.444231
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,5396.214243,5343.037704,6377.203096,6810.114041
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,41328.61239,37207.23887,42072.31942,41992.77278
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,6504.789633,5644.14257,6419.161029,7625.252464
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,45376.17084,37629.17417,44332.34005,53707.98008
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,9963.674162,8500.837939,10650.86046,13650.60463
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,4828.504886,4505.867742,4972.783204,7018.051504
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,13672.57666,15609.77722,16653.71378,19673.3901
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,18730.0048,15224.85859,17178.54372,19919.72669
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,55049.57192,51868.24756,60697.24544,65099.84591
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,50067.58573,48789.49785,53517.89045,52084.6812
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,4805.753718,4229.910649,5408.045352,7762.073829
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,216.9729709,216.8274175,221.1578034,259.0250314
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,46641.7214,45609.00349,51850.39718,49926.82543
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1170.885995,1240.733155,1360.911474,1302.851036
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,765.2295604,823.5524109,888.7810788,830.0371503
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,2122.078397,2233.305901,2457.924039,2688.305501
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,9874.336326,10148.3424,12219.34187,13974.44925
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,25869.11291,23433.18724,26850.00339,30146.92503
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,32279.01136,23998.26802,28260.43255,31458.30081
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,6094.724823,6095.104237,7230.198838,7568.79848
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,6837.768321,6542.86454,7489.718947,7888.263711
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,6134.215233,5185.15807,6060.968223,6984.21696
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,116153.1661,107791.8864,111774.6691,118774.7907
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,3472.380831,3068.812555,3345.023002,3600.121635
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,8845.324149,6923.699912,7696.78483,8917.674911
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,19063.10229,16882.50152,17507.46799,20238.78424
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,30748.30924,27179.35289,31448.91275,37152.47697
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,3564.598772,3181.339747,3560.197705,
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,6691.161053,5875.070606,7238.796098,7738.878804
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,426.4087531,435.4692478,461.137511,427.0580962
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,46374.15275,43562.43583,52515.19984,55522.44569
Central Europe and the Baltics,CEB,GDP per capita (current US$),NY.GDP.PCAP.CD,16349.94583,16297.9641,18814.14582,19420.96441
Switzerland,CHE,GDP per capita (current US$),NY.GDP.PCAP.CD,84121.93103,85897.78433,93446.43445,93259.90572
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,61281.32722,57339.52687,67960.727,
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,14632.69031,13173.78479,16240.60778,15355.47974
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,10143.86022,10408.71955,12617.5051,12720.21632
Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,2290.787379,2349.069882,2613.378893,2486.412194
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1538.687912,1539.130545,1654.257037,1563.48894
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,575.8827814,524.6666862,576.9747294,653.6562231
"Congo, Rep.",COG,GDP per capita (current US$),NY.GDP.PCAP.CD,2508.944783,2011.269479,2540.473212,2649.225022
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,6436.509215,5304.289129,6182.707099,6624.165393
Comoros,COM,GDP per capita (current US$),NY.GDP.PCAP.CD,1510.797323,1519.58678,1577.470841,1484.892465
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,3903.050317,3126.399859,3398.165376,3754.304794
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,12669.34115,12179.25667,12604.04884,13365.3564
Caribbean small states,CSS,GDP per capita (current US$),NY.GDP.PCAP.CD,10405.80321,8846.494092,10174.38409,12639.70462
Cuba,CUB,GDP per capita (current US$),NY.GDP.PCAP.CD,9139.38051,9499.572504,,
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,19220.68658,16356.09333,17979.99829,20501.75228
Cayman Islands,CYM,GDP per capita (current US$),NY.GDP.PCAP.CD,89846.32122,83897.50544,88475.60047,99624.88544
Cyprus,CYP,GDP per capita (current US$),NY.GDP.PCAP.CD,29420,28281.42578,32745.84375,32048.24023
Czechia,CZE,GDP per capita (current US$),NY.GDP.PCAP.CD,23664.84786,22992.87938,26822.51419,27226.61564
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,46805.13843,46749.47623,51426.75037,48717.99114
Djibouti,DJI,GDP per capita (current US$),NY.GDP.PCAP.CD,2876.043664,2921.738706,3062.551482,3136.112768
Dominica,DMA,GDP per capita (current US$),NY.GDP.PCAP.CD,8561.587011,7003.469891,7668.158132,8351.193213
Denmark,DNK,GDP per capita (current US$),NY.GDP.PCAP.CD,59592.98069,60836.59241,69268.6518,67790.05399
Dominican Republic,DOM,GDP per capita (current US$),NY.GDP.PCAP.CD,8173.344699,7167.914974,8476.749639,10111.24571
